tobyhuang debug: num_processes=6
         69707 function calls (68434 primitive calls) in 0.054 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       49    0.000    0.000    0.000    0.000 _local.py:498(__init__)
       24    0.000    0.000    0.000    0.000 reduction.py:191(DupFd)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
        6    0.000    0.000    0.000    0.000 popen_fork.py:57(terminate)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
        4    0.000    0.000    0.000    0.000 typing.py:753(Union)
        1    0.000    0.000    0.000    0.000 _local.py:529(open)
       30    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
     1268    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        6    0.000    0.000    0.000    0.000 popen_fork.py:47(_send_signal)
        2    0.000    0.000    0.000    0.000 signal.py:69(pthread_sigmask)
        2    0.000    0.000    0.000    0.000 argparse.py:2148(consume_positionals)
       92    0.000    0.000    0.000    0.000 enum.py:1451(_iter_member_by_def_)
       33    0.000    0.000    0.000    0.000 _parser.py:97(closegroup)
       13    0.000    0.000    0.000    0.000 selectors.py:340(register)
       27    0.000    0.000    0.000    0.000 {built-in method posix.close}
        6    0.000    0.000    0.000    0.000 {built-in method posix.kill}
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        1    0.000    0.000    0.000    0.000 _meta.py:1(<module>)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1595(__init__)
       49    0.000    0.000    0.000    0.000 _local.py:117(__init__)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       35    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       35    0.000    0.000    0.000    0.000 enum.py:1061(_add_member_)
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        7    0.000    0.000    0.000    0.000 typing.py:1442(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:61(Sectioned)
      124    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      344    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      204    0.000    0.000    0.000    0.000 enum.py:1591(_get_value)
        4    0.000    0.000    0.000    0.000 threading.py:327(wait)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       12    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
      106    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
       11    0.000    0.000    0.000    0.000 connection.py:411(_send_bytes)
        2    0.000    0.000    0.000    0.000 argparse.py:2335(_match_arguments_partial)
        3    0.000    0.000    0.000    0.000 connection.py:550(Pipe)
     1067    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      248    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        2    0.000    0.000    0.000    0.000 __init__.py:427(<genexpr>)
        2    0.000    0.000    0.000    0.000 queues.py:372(empty)
        1    0.000    0.000    0.000    0.000 pool.py:506(_handle_workers)
       19    0.000    0.000    0.000    0.000 {method 'getbuffer' of '_io.BytesIO' objects}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      249    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      251    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       19    0.000    0.000    0.000    0.000 _regex_core.py:1720(standardise_name)
        6    0.000    0.000    0.000    0.000 util.py:242(register_after_fork)
      250    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
        2    0.000    0.000    0.000    0.000 _local.py:166(__fspath__)
        3    0.000    0.000    0.000    0.000 typing.py:2074(__new__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1572(find_distributions)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        3    0.000    0.000    0.000    0.000 typing.py:1654(__getitem__)
        6    0.000    0.000    0.000    0.000 gettext.py:231(_expand_lang)
      413    0.000    0.000    0.000    0.000 _parser.py:255(match)
       13    0.000    0.000    0.000    0.000 selectors.py:238(register)
        2    0.000    0.000    0.000    0.000 _local.py:227(__str__)
      838    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      838    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 _adapters.py:19(Message)
       33    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 synchronize.py:1(<module>)
        4    0.000    0.000    0.000    0.000 functools.py:878(register)
        1    0.000    0.000    0.000    0.000 __init__.py:871(find_distributions)
        4    0.000    0.000    0.000    0.000 signal.py:72(<genexpr>)
        5    0.000    0.000    0.000    0.000 connection.py:187(send_bytes)
        1    0.000    0.000    0.000    0.000 pool.py:500(_wait_for_updates)
    21/17    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      630    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:886(_search_paths)
        1    0.000    0.000    0.000    0.000 pool.py:289(_join_exited_workers)
       12    0.000    0.000    0.000    0.000 process.py:347(__reduce__)
       12    0.000    0.000    0.000    0.000 process.py:224(exitcode)
       12    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method _thread.start_joinable_thread}
        6    0.000    0.000    0.000    0.000 pool.py:809(_set)
       23    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        1    0.000    0.000    0.000    0.000 __init__.py:844(__init__)
      268    0.000    0.000    0.000    0.000 _parser.py:163(__len__)
        5    0.000    0.000    0.000    0.000 threading.py:620(set)
        1    0.000    0.000    0.000    0.000 feedparser.py:472(_parse_headers)
       56    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
        2    0.000    0.000    0.000    0.000 random.py:119(__init__)
       10    0.000    0.000    0.000    0.000 _text.py:79(__hash__)
       13    0.000    0.000    0.000    0.000 typing.py:173(_type_check)
    44/31    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       92    0.000    0.000    0.000    0.000 enum.py:1441(_iter_member_by_value_)
        2    0.000    0.000    0.000    0.000 typing.py:806(Optional)
       24    0.000    0.000    0.000    0.000 synchronize.py:100(__getstate__)
        2    0.000    0.000    0.000    0.000 random.py:128(seed)
