tobyhuang debug: num_processes=6
         69707 function calls (68434 primitive calls) in 0.054 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 typing.py:1089(__eq__)
        1    0.000    0.000    0.000    0.000 __init__.py:870(MetadataPathFinder)
        6    0.000    0.000    0.000    0.000 {built-in method select.poll}
        1    0.000    0.000    0.000    0.000 pool.py:734(__enter__)
        4    0.000    0.000    0.000    0.000 typing.py:351(_deduplicate)
        4    0.000    0.000    0.000    0.000 threading.py:312(_release_save)
       25    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 message.py:989(MIMEPart)
        1    0.000    0.000    0.000    0.000 subprocess.py:476(CompletedProcess)
        1    0.000    0.000    0.000    0.000 feedparser.py:197(_new_message)
        1    0.000    0.000    0.000    0.000 _regex_core.py:4460(_get_required_string)
       12    0.000    0.000    0.000    0.000 _collections.py:23(freeze)
        1    0.000    0.000    0.000    0.000 _functional.py:1(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:732(__new__)
        1    0.000    0.000    0.000    0.000 _adapters.py:41(__new__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1139(_BaseV4)
        1    0.000    0.000    0.000    0.000 feedparser.py:46(BufferedSubFile)
        3    0.000    0.000    0.000    0.000 {built-in method _locale.setlocale}
        5    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 tempfile.py:865(TemporaryDirectory)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3526(pack_characters)
        3    0.000    0.000    0.000    0.000 argparse.py:1652(_get_handler)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
        6    0.000    0.000    0.000    0.000 threading.py:1148(daemon)
        1    0.000    0.000    0.000    0.000 parse.py:152(_NetlocResultMixinBase)
        6    0.000    0.000    0.000    0.000 selectors.py:63(__init__)
        4    0.000    0.000    0.000    0.000 typing.py:463(_eval_type)
        1    0.000    0.000    0.000    0.000 __init__.py:204(Path)
       24    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       12    0.000    0.000    0.000    0.000 {method '_recursion_count' of '_thread.RLock' objects}
       14    0.000    0.000    0.000    0.000 contextlib.py:450(__exit__)
       19    0.000    0.000    0.000    0.000 typing.py:1446(<genexpr>)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        3    0.000    0.000    0.000    0.000 weakref.py:495(popitem)
        1    0.000    0.000    0.000    0.000 spawn.py:36(set_executable)
        2    0.000    0.000    0.000    0.000 feedparser.py:123(pushlines)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:373(abspath)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        3    0.000    0.000    0.000    0.000 typing.py:1793(__hash__)
        4    0.000    0.000    0.000    0.000 threading.py:315(_acquire_restore)
        1    0.000    0.000    0.000    0.000 {built-in method regex._regex.get_code_size}
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
        8    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
        1    0.000    0.000    0.000    0.000 abc.py:96(InspectLoader)
        6    0.000    0.000    0.000    0.000 signal.py:51(decorator)
        1    0.000    0.000    0.000    0.000 resource_tracker.py:69(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:101(CompleteDirs)
       24    0.000    0.000    0.000    0.000 connection.py:164(readable)
       12    0.000    0.000    0.000    0.000 threading.py:605(is_set)
       12    0.000    0.000    0.000    0.000 __init__.py:866(__bool__)
        6    0.000    0.000    0.000    0.000 __init__.py:443(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:192(_Extra)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2225(IPv6Interface)
        1    0.000    0.000    0.000    0.000 connection.py:120(_ConnectionBase)
        3    0.000    0.000    0.000    0.000 <frozen os>:798(decode)
        1    0.000    0.000    0.000    0.000 reduction.py:33(ForkingPickler)
        6    0.000    0.000    0.000    0.000 functools.py:66(wraps)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        1    0.000    0.000    0.000    0.000 enum.py:938(_check_for_existing_members_)
        1    0.000    0.000    0.000    0.000 _regex_core.py:1941(RegexBase)
        1    0.000    0.000    0.000    0.000 traceback.py:427(StackSummary)
        6    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
        6    0.000    0.000    0.000    0.000 weakref.py:352(__init__)
       20    0.000    0.000    0.000    0.000 _adapters.py:64(redent)
        1    0.000    0.000    0.000    0.000 connection.py:453(Listener)
        1    0.000    0.000    0.000    0.000 decoder.py:292(__init__)
        2    0.000    0.000    0.000    0.000 weakref.py:367(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:250(EntryPoints)
        1    0.000    0.000    0.000    0.000 resource_tracker.py:67(ResourceTracker)
        1    0.000    0.000    0.000    0.000 traceback.py:996(TracebackException)
        6    0.000    0.000    0.000    0.000 process.py:205(daemon)
        1    0.000    0.000    0.000    0.000 __init__.py:390(ZipInfo)
        1    0.000    0.000    0.000    0.000 charset.py:160(Charset)
       17    0.000    0.000    0.000    0.000 connection.py:148(_check_writable)
        6    0.000    0.000    0.000    0.000 {method 'write' of '_io.BytesIO' objects}
        2    0.000    0.000    0.000    0.000 process.py:234(ident)
        2    0.000    0.000    0.000    0.000 utils.py:47(_has_surrogates)
        6    0.000    0.000    0.000    0.000 synchronize.py:90(_make_methods)
       19    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        7    0.000    0.000    0.000    0.000 enum.py:1739(_simple_enum)
        5    0.000    0.000    0.000    0.000 argparse.py:582(format)
        1    0.000    0.000    0.000    0.000 selectors.py:84(BaseSelector)
        1    0.000    0.000    0.000    0.000 feedparser.py:54(__init__)
        1    0.000    0.000    0.000    0.000 weakref.py:289(update)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1103(_resolve_filename)
        1    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
        5    0.000    0.000    0.000    0.000 argparse.py:574(_metavar_formatter)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1430(IPv4Interface)
       18    0.000    0.000    0.000    0.000 process.py:37(current_process)
        2    0.000    0.000    0.000    0.000 _regex_core.py:1935(make_sequence)
       11    0.000    0.000    0.000    0.000 _collections.py:24(<lambda>)
        1    0.000    0.000    0.000    0.000 {built-in method posix.sysconf}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1323(exec_module)
       24    0.000    0.000    0.000    0.000 connection.py:169(writable)
        7    0.000    0.000    0.000    0.000 enum.py:809(__members__)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1014(is_package)
        1    0.000    0.000    0.000    0.000 _meta.py:47(SimplePath)
        6    0.000    0.000    0.000    0.000 connection.py:864(<genexpr>)
        1    0.000    0.000    0.000    0.000 synchronize.py:46(SemLock)
        6    0.000    0.000    0.000    0.000 reduction.py:43(register)
        1    0.000    0.000    0.000    0.000 pool.py:157(__init__)
        3    0.000    0.000    0.000    0.000 threading.py:122(RLock)
        1    0.000    0.000    0.000    0.000 decoder.py:262(JSONDecoder)
        1    0.000    0.000    0.000    0.000 _colorize.py:12(ANSIColors)
        6    0.000    0.000    0.000    0.000 process.py:213(authkey)
       15    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 _encoded_words.py:73(_QByteMap)
        1    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
        6    0.000    0.000    0.000    0.000 context.py:259(get_start_method)
        1    0.000    0.000    0.000    0.000 threading.py:536(BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.000    0.000 synchronize.py:370(Barrier)
        4    0.000    0.000    0.000    0.000 functools.py:994(__init__)
        6    0.000    0.000    0.000    0.000 typing.py:2224(<genexpr>)
        5    0.000    0.000    0.000    0.000 {method 'find' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 traceback.py:275(FrameSummary)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2581(Character)
       34    0.000    0.000    0.000    0.000 enum.py:249(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
       14    0.000    0.000    0.000    0.000 contextlib.py:444(__init__)
        1    0.000    0.000    0.000    0.000 quopri.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3514(optimise)
        1    0.000    0.000    0.000    0.000 __init__.py:2015(__del__)
        1    0.000    0.000    0.000    0.000 __init__.py:821(Prepared)
        1    0.000    0.000    0.000    0.000 subprocess.py:108(_del_safe)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:108(_check_methods)
        2    0.000    0.000    0.000    0.000 typing.py:1125(_is_unpacked_typevartuple)
        1    0.000    0.000    0.000    0.000 threading.py:675(Barrier)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2786(Fuzzy)
        1    0.000    0.000    0.000    0.000 __init__.py:886(ZipExtFile)
        6    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
        1    0.000    0.000    0.000    0.000 _abc.py:55(ParserBase)
        1    0.000    0.000    0.000    0.000 glob.py:7(Translator)
        1    0.000    0.000    0.000    0.000 pool.py:279(_get_sentinels)
        1    0.000    0.000    0.000    0.000 __init__.py:305(escape)
        1    0.000    0.000    0.000    0.000 socket.py:681(SocketIO)
        1    0.000    0.000    0.000    0.000 pool.py:921(ThreadPool)
        1    0.000    0.000    0.000    0.000 queue.py:315(_PySimpleQueue)
        1    0.000    0.000    0.000    0.000 __init__.py:899(PathDistribution)
        1    0.000    0.000    0.000    0.000 __init__.py:176(FastLookup)
        1    0.000    0.000    0.000    0.000 synchronize.py:328(Event)
        9    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 <frozen codecs>:312(__init__)
       13    0.000    0.000    0.000    0.000 spawn.py:45(get_executable)
        1    0.000    0.000    0.000    0.000 <frozen os>:844(fsencode)
        3    0.000    0.000    0.000    0.000 _regex_core.py:3503(__init__)
       13    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 reduction.py:251(AbstractReducer)
        8    0.000    0.000    0.000    0.000 connection.py:144(_check_readable)
        2    0.000    0.000    0.000    0.000 {built-in method posix._path_splitroot_ex}
        4    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 warnings.py:518(deprecated)
        1    0.000    0.000    0.000    0.000 connection.py:369(Connection)
        1    0.000    0.000    0.000    0.000 enum.py:347(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1599(_get_positional_kwargs)
        1    0.000    0.000    0.000    0.000 string.py:57(Template)
        1    0.000    0.000    0.000    0.000 parse.py:361(_fix_result_transcoding)
       12    0.000    0.000    0.000    0.000 enum.py:1339(value)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 queues.py:357(SimpleQueue)
        5    0.000    0.000    0.000    0.000 argparse.py:1661(_check_conflict)
        8    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        2    0.000    0.000    0.000    0.000 argparse.py:974(__call__)
        6    0.000    0.000    0.000    0.000 context.py:203(get_start_method)
        1    0.000    0.000    0.000    0.000 argparse.py:1381(_ActionsContainer)
        1    0.000    0.000    0.000    0.000 random.py:225(__init_subclass__)
        1    0.000    0.000    0.000    0.000 encoders.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3310(Property)
        3    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
        7    0.000    0.000    0.000    0.000 {built-in method sys._getframemodulename}
        1    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
        1    0.000    0.000    0.000    0.000 pickle.py:194(_Framer)
        1    0.000    0.000    0.000    0.000 message.py:156(__init__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:563(_BaseAddress)
        1    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
        1    0.000    0.000    0.000    0.000 subprocess.py:169(TimeoutExpired)
       11    0.000    0.000    0.000    0.000 {method 'isspace' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1158(create_module)
        1    0.000    0.000    0.000    0.000 threading.py:269(Condition)
        1    0.000    0.000    0.000    0.000 _main.py:481(complain_unused_args)
        1    0.000    0.000    0.000    0.000 feedparser.py:136(FeedParser)
        4    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.BytesIO' objects}
        6    0.000    0.000    0.000    0.000 {built-in method posix.waitstatus_to_exitcode}
        3    0.000    0.000    0.000    0.000 enum.py:797(__iter__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3449(RefGroup)
        1    0.000    0.000    0.000    0.000 _regex_core.py:4007(String)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3150(LookAround)
        1    0.000    0.000    0.000    0.000 popen_fork.py:13(Popen)
        3    0.000    0.000    0.000    0.000 argparse.py:2352(_parse_optional)
        5    0.000    0.000    0.000    0.000 argparse.py:205(__init__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3372(Range)
        1    0.000    0.000    0.000    0.000 context.py:226(Process)
        1    0.000    0.000    0.000    0.000 header.py:545(_Accumulator)
        4    0.000    0.000    0.000    0.000 {built-in method maketrans}
        3    0.000    0.000    0.000    0.000 {method 'popitem' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'extend' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _locale.getencoding}
        1    0.000    0.000    0.000    0.000 types.py:339(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:440(_discover_resolvers)
        1    0.000    0.000    0.000    0.000 __init__.py:1231(_ZipWriteFile)
        1    0.000    0.000    0.000    0.000 abc.py:28(__getattr__)
        1    0.000    0.000    0.000    0.000 tempfile.py:433(_TemporaryFileCloser)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:215(AddrlistClass)
        1    0.000    0.000    0.000    0.000 util.py:253(Finalize)
       14    0.000    0.000    0.000    0.000 contextlib.py:447(__enter__)
        6    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        9    0.000    0.000    0.000    0.000 context.py:193(get_context)
        1    0.000    0.000    0.000    0.000 selectors.py:414(PollSelector)
        1    0.000    0.000    0.000    0.000 _regex_core.py:4112(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:306(PackagePath)
        4    0.000    0.000    0.000    0.000 {built-in method _thread.get_native_id}
        1    0.000    0.000    0.000    0.000 context.py:243(get_context)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3820(SetDiff)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2040(Any)
        1    0.000    0.000    0.000    0.000 selectors.py:281(SelectSelector)
        1    0.000    0.000    0.000    0.000 __init__.py:694(path)
        1    0.000    0.000    0.000    0.000 abc.py:149(ExecutionLoader)
        6    0.000    0.000    0.000    0.000 resource_tracker.py:280(_make_probe_message)
        3    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'select.kqueue' objects}
        1    0.000    0.000    0.000    0.000 _regex_core.py:1992(compile)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2938(GreedyRepeat)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2655(Conditional)
        1    0.000    0.000    0.000    0.000 _itertools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _functools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:18(_PolicyBase)
        1    0.000    0.000    0.000    0.000 header.py:417(_ValueFormatter)
        1    0.000    0.000    0.000    0.000 encoder.py:74(JSONEncoder)
        1    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        2    0.000    0.000    0.000    0.000 typing.py:553(__repr__)
        1    0.000    0.000    0.000    0.000 warnings.py:442(catch_warnings)
        1    0.000    0.000    0.000    0.000 threading.py:141(_RLock)
        6    0.000    0.000    0.000    0.000 selectors.py:203(__enter__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3846(SetInter)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2074(Atomic)
        1    0.000    0.000    0.000    0.000 __init__.py:858(legacy_normalize)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3218(LookAroundConditional)
        1    0.000    0.000    0.000    0.000 abc.py:80(ResourceLoader)
        1    0.000    0.000    0.000    0.000 tempfile.py:133(_RandomNameSequence)
        1    0.000    0.000    0.000    0.000 random.py:880(SystemRandom)
        1    0.000    0.000    0.000    0.000 _policybase.py:279(Compat32)
        1    0.000    0.000    0.000    0.000 synchronize.py:217(Condition)
        5    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.000    0.000 context.py:236(DefaultContext)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3060(Group)
        1    0.000    0.000    0.000    0.000 __init__.py:770(Lookup)
        6    0.000    0.000    0.000    0.000 __init__.py:736(__init__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:4148(get)
        4    0.000    0.000    0.000    0.000 functools.py:1000(__set_name__)
        1    0.000    0.000    0.000    0.000 context.py:290(SpawnProcess)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3577(get_firstset)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3876(SetSymDiff)
        2    0.000    0.000    0.000    0.000 _regex_core.py:411(_flatten_code)
        1    0.000    0.000    0.000    0.000 __init__.py:49(PackageNotFoundError)
        1    0.000    0.000    0.000    0.000 tempfile.py:476(_TemporaryFileWrapper)
        1    0.000    0.000    0.000    0.000 header.py:184(Header)
        1    0.000    0.000    0.000    0.000 feedparser.py:210(_pop_message)
        1    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 parser.py:16(Parser)
        1    0.000    0.000    0.000    0.000 enum.py:967(_find_data_repr_)
        4    0.000    0.000    0.000    0.000 _parser.py:165(__delitem__)
        2    0.000    0.000    0.000    0.000 argparse.py:2442(_get_nargs_pattern)
        2    0.000    0.000    0.000    0.000 {built-in method math.log}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:131(splitdrive)
        1    0.000    0.000    0.000    0.000 threading.py:581(Event)
        1    0.000    0.000    0.000    0.000 context.py:209(reducer)
        1    0.000    0.000    0.000    0.000 pickle.py:257(_Unframer)
        1    0.000    0.000    0.000    0.000 process.py:361(_ParentProcess)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3909(SetUnion)
        1    0.000    0.000    0.000    0.000 _local.py:30(_PathParents)
        1    0.000    0.000    0.000    0.000 selectors.py:330(_PollLikeSelector)
        1    0.000    0.000    0.000    0.000 selectors.py:210(_BaseSelectorImpl)
        1    0.000    0.000    0.000    0.000 __init__.py:662(Context)
        1    0.000    0.000    0.000    0.000 _regex_core.py:4110(Source)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 _collections.py:27(Pair)
        1    0.000    0.000    0.000    0.000 parse.py:190(_NetlocResultMixinStr)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:518(AddressList)
        1    0.000    0.000    0.000    0.000 _regex_core.py:4291(match)
        1    0.000    0.000    0.000    0.000 message.py:343(set_payload)
        1    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.000    0.000 {built-in method _thread.daemon_threads_allowed}
        1    0.000    0.000    0.000    0.000 typing.py:1115(_rewrite_star_unpack)
        6    0.000    0.000    0.000    0.000 signal.py:50(_wraps)
        1    0.000    0.000    0.000    0.000 selectors.py:488(KqueueSelector)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2300(IPv6Network)
        1    0.000    0.000    0.000    0.000 pool.py:756(ready)
        1    0.000    0.000    0.000    0.000 popen_spawn_posix.py:26(Popen)
        1    0.000    0.000    0.000    0.000 argparse.py:881(BooleanOptionalAction)
        1    0.000    0.000    0.000    0.000 context.py:283(ForkProcess)
        1    0.000    0.000    0.000    0.000 threading.py:449(Semaphore)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3715(SetBase)
        1    0.000    0.000    0.000    0.000 encoder.py:105(__init__)
        3    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix._path_normpath}
        2    0.000    0.000    0.000    0.000 {method 'is_done' of '_thread._ThreadHandle' objects}
        1    0.000    0.000    0.000    0.000 warnings.py:420(WarningMessage)
        1    0.000    0.000    0.000    0.000 selectors.py:60(_SelectorMapping)
        1    0.000    0.000    0.000    0.000 _regex_core.py:30(error)
        1    0.000    0.000    0.000    0.000 __init__.py:699(LZMACompressor)
        1    0.000    0.000    0.000    0.000 _policybase.py:41(__init__)
        1    0.000    0.000    0.000    0.000 pool.py:837(IMapIterator)
        4    0.000    0.000    0.000    0.000 {method 'seek' of '_io.StringIO' objects}
        1    0.000    0.000    0.000    0.000 _regex_core.py:2011(ZeroWidthBase)
        1    0.000    0.000    0.000    0.000 __init__.py:2142(PyZipFile)
        1    0.000    0.000    0.000    0.000 __init__.py:83(InitializedState)
        4    0.000    0.000    0.000    0.000 message.py:650(get_default_type)
        4    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
        2    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'truncate' of '_io.StringIO' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _thread._make_thread_handle}
        1    0.000    0.000    0.000    0.000 argparse.py:107(_AttributeHolder)
        1    0.000    0.000    0.000    0.000 argparse.py:780(Action)
        1    0.000    0.000    0.000    0.000 argparse.py:1699(_ArgumentGroup)
        1    0.000    0.000    0.000    0.000 threading.py:1369(_DeleteDummyThreadOnDel)
        1    0.000    0.000    0.000    0.000 threading.py:1398(_DummyThread)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2526(CallGroup)
        1    0.000    0.000    0.000    0.000 __init__.py:324(FileHash)
        1    0.000    0.000    0.000    0.000 abc.py:199(SourceLoader)
        1    0.000    0.000    0.000    0.000 abc.py:52(MetaPathFinder)
        1    0.000    0.000    0.000    0.000 abc.py:68(PathEntryFinder)
        1    0.000    0.000    0.000    0.000 pool.py:150(_PoolCache)
        2    0.000    0.000    0.000    0.000 pool.py:351(_check_running)
        1    0.000    0.000    0.000    0.000 feedparser.py:532(BytesFeedParser)
        1    0.000    0.000    0.000    0.000 queue.py:280(PriorityQueue)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 {built-in method atexit.register}
        1    0.000    0.000    0.000    0.000 _parser.py:294(seek)
        1    0.000    0.000    0.000    0.000 argparse.py:1916(_get_positional_actions)
        1    0.000    0.000    0.000    0.000 _local.py:839(PosixPath)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2130(Boundary)
        1    0.000    0.000    0.000    0.000 __init__.py:332(DeprecatedNonAbstract)
        1    0.000    0.000    0.000    0.000 message.py:1212(EmailMessage)
        1    0.000    0.000    0.000    0.000 message.py:217(is_multipart)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1131(_BaseConstants)
        1    0.000    0.000    0.000    0.000 pool.py:794(MapResult)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        1    0.000    0.000    0.000    0.000 threading.py:1321(Timer)
        1    0.000    0.000    0.000    0.000 argparse.py:1742(_MutuallyExclusiveGroup)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
        1    0.000    0.000    0.000    0.000 decoder.py:20(JSONDecodeError)
        1    0.000    0.000    0.000    0.000 __init__.py:823(_SharedFile)
        1    0.000    0.000    0.000    0.000 parse.py:220(_NetlocResultMixinBytes)
        1    0.000    0.000    0.000    0.000 parser.py:17(__init__)
        1    0.000    0.000    0.000    0.000 parser.py:67(HeaderParser)
        1    0.000    0.000    0.000    0.000 queue.py:31(Full)
        1    0.000    0.000    0.000    0.000 connection.py:622(SocketListener)
        1    0.000    0.000    0.000    0.000 queues.py:314(JoinableQueue)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        2    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1304(__init__)
        1    0.000    0.000    0.000    0.000 context.py:302(ForkServerProcess)
        1    0.000    0.000    0.000    0.000 argparse.py:1135(_HelpAction)
        1    0.000    0.000    0.000    0.000 _regex_core.py:4334(at_end)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2780(Failure)
        1    0.000    0.000    0.000    0.000 _regex_core.py:4356(Info)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3030(PossessiveRepeat)
        1    0.000    0.000    0.000    0.000 __init__.py:866(_Tellable)
        1    0.000    0.000    0.000    0.000 _collections.py:5(FreezableDefaultDict)
        1    0.000    0.000    0.000    0.000 parse.py:323(DefragResult)
        1    0.000    0.000    0.000    0.000 parse.py:856(_Quoter)
        1    0.000    0.000    0.000    0.000 errors.py:37(MessageDefect)
        1    0.000    0.000    0.000    0.000 errors.py:85(HeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:97(NonPrintableDefect)
        1    0.000    0.000    0.000    0.000 parser.py:75(BytesParser)
        1    0.000    0.000    0.000    0.000 pool.py:80(MaybeEncodingError)
        1    0.000    0.000    0.000    0.000 traceback.py:973(_ExceptionPrintContext)
        1    0.000    0.000    0.000    0.000 util.py:439(ForkAwareThreadLock)
        1    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 context.py:317(ForkServerContext)
        1    0.000    0.000    0.000    0.000 warnings.py:207(_OptionError)
        1    0.000    0.000    0.000    0.000 _local.py:462(PurePosixPath)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2919(Grapheme)
        1    0.000    0.000    0.000    0.000 {method 'removeprefix' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        4    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
        1    0.000    0.000    0.000    0.000 {method 'groups' of 're.Match' objects}
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:345(__subclasshook__)
        1    0.000    0.000    0.000    0.000 argparse.py:203(_Section)
        1    0.000    0.000    0.000    0.000 argparse.py:663(RawDescriptionHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1003(_StoreTrueAction)
        1    0.000    0.000    0.000    0.000 argparse.py:941(_StoreAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1306(FileType)
        1    0.000    0.000    0.000    0.000 context.py:309(ForkContext)
        1    0.000    0.000    0.000    0.000 process.py:394(_MainProcess)
        1    0.000    0.000    0.000    0.000 argparse.py:1156(_VersionAction)
        2    0.000    0.000    0.000    0.000 _local.py:307(_tail)
        1    0.000    0.000    0.000    0.000 _local.py:472(PureWindowsPath)
        1    0.000    0.000    0.000    0.000 _local.py:851(WindowsPath)
